"['mui-org', 'material-ui']",67849,12885,11904
"['chakra-ui', 'chakra-ui']",17340,1762,1535
"['Semantic-Org', 'Semantic-UI-React']",12227,2384,2060
"['microsoft', 'fluentui']",11250,7553,6367
"['rebassjs', 'rebass']",7271,469,379
"['uber', 'baseweb']",6304,777,575
"['adobe', 'react-spectrum']",4535,556,356
"['weui', 'react-weui']",2767,223,128
"['ElemeFE', 'element-react']",2618,472,207
"['primefaces', 'primereact']",1980,1719,875
