,cursor,name_with_owner,url,stargazer_count,topic,create_at,dependencies,weight,gzipped
0,Y3Vyc29yOjI0,roylee0704/react-flexbox-grid,https://github.com/roylee0704/react-flexbox-grid,2811,react-components,2015-11-16 07:47:50+00:00,2,16.92,1.97
0,Y3Vyc29yOjI1,weui/react-weui,https://github.com/weui/react-weui,2761,react-components,2015-10-12 06:10:32+00:00,3,122.17,25.16
0,Y3Vyc29yOjI2,ElemeFE/element-react,https://github.com/ElemeFE/element-react,2614,react-components,2016-10-18 06:56:20+00:00,8,669.07,116.95
0,Y3Vyc29yOjI3,xiaolin/react-image-gallery,https://github.com/xiaolin/react-image-gallery,2595,react-components,2015-02-27 23:41:41+00:00,7,53.03,15.42
0,Y3Vyc29yOjI4,react-component/slider,https://github.com/react-component/slider,2474,react-components,2015-04-19 07:30:44+00:00,2,2.5,1.04
0,Y3Vyc29yOjI5,elrumordelaluz/reactour,https://github.com/elrumordelaluz/reactour,2276,react-components,2017-03-17 18:43:49+00:00,9,46.41,15.07
0,Y3Vyc29yOjMw,zhihu/griffith,https://github.com/zhihu/griffith,2150,react-components,2019-03-22 06:08:17+00:00,11,317.87,87.81
0,Y3Vyc29yOjMx,video-react/video-react,https://github.com/video-react/video-react,2098,react-components,2016-09-29 00:10:58+00:00,5,92.83,19.73
0,Y3Vyc29yOjMy,rcaferati/react-awesome-slider,https://github.com/rcaferati/react-awesome-slider,2068,react-components,2016-06-12 18:45:33+00:00,1,36.21,8.14
0,Y3Vyc29yOjMz,rnosov/react-reveal,https://github.com/rnosov/react-reveal,2042,react-components,2016-10-11 17:58:52+00:00,1,34.97,8.17
0,Y3Vyc29yOjM0,primefaces/primereact,https://github.com/primefaces/primereact,1948,react-components,2016-12-16 15:56:27+00:00,-1,31009.0,-1.0
0,Y3Vyc29yOjM1,tabler/tabler-react,https://github.com/tabler/tabler-react,1707,react-components,2018-04-12 21:32:09+00:00,3,145.11,40.08
0,Y3Vyc29yOjM2,geist-org/react,https://github.com/geist-org/react,1651,react-components,2020-03-18 17:14:17+00:00,2,6.96,2.84
0,Y3Vyc29yOjM3,DevExpress/devextreme-reactive,https://github.com/DevExpress/devextreme-reactive,1631,react-components,2017-03-17 07:10:12+00:00,-1,125481.0,-1.0
0,Y3Vyc29yOjM4,nexxtway/react-rainbow,https://github.com/nexxtway/react-rainbow,1550,react-components,2018-08-28 05:34:53+00:00,0,2.26,1.03
0,Y3Vyc29yOjM5,kentcdodds/advanced-react-patterns,https://github.com/kentcdodds/advanced-react-patterns,1517,react-components,2019-02-11 21:46:26+00:00,-1,2442.0,-1.0
0,Y3Vyc29yOjQw,siriwatknp/mui-treasury,https://github.com/siriwatknp/mui-treasury,1467,react-components,2019-03-11 16:21:23+00:00,10,504.98,146.64
0,Y3Vyc29yOjQx,beizhedenglong/rough-charts,https://github.com/beizhedenglong/rough-charts,1465,react-components,2019-10-04 05:19:54+00:00,6,82.72,26.59
