,cursor,name_with_owner,url,stargazer_count,topic,create_at,prs_ratio
0,Y3Vyc29yOjE=,mui-org/material-ui,https://github.com/mui-org/material-ui,67549,react-components,2014-08-18 19:11:54+00:00,0.8151591997745844
0,Y3Vyc29yOjI=,brillout/awesome-react-components,https://github.com/brillout/awesome-react-components,26539,react-components,2016-06-24 15:19:33+00:00,0.6666666666666666
0,Y3Vyc29yOjM=,bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,21498,react-components,2015-11-03 00:48:07+00:00,0.6713615023474179
0,Y3Vyc29yOjQ=,enzymejs/enzyme,https://github.com/enzymejs/enzyme,19489,react-components,2015-11-10 21:45:38+00:00,0.8554216867469879
0,Y3Vyc29yOjU=,necolas/react-native-web,https://github.com/necolas/react-native-web,18585,react-components,2015-06-09 19:25:38+00:00,0.08256880733944955
0,Y3Vyc29yOjY=,chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,16953,react-components,2019-08-17 14:27:54+00:00,0.7156626506024096
