,cursor,name_with_owner,url,stargazer_count,topic,create_at,prs_ratio
0,Y3Vyc29yOjQz,feathericons/react-feather,https://github.com/feathericons/react-feather,1410,react-components,2017-06-14 11:01:13+00:00,0
0,Y3Vyc29yOjQ0,vazco/uniforms,https://github.com/vazco/uniforms,1380,react-components,2016-05-10 13:08:50+00:00,0.918918918918919
0,Y3Vyc29yOjQ1,myxvisual/react-uwp,https://github.com/myxvisual/react-uwp,1147,react-components,2017-01-09 04:20:58+00:00,0
0,Y3Vyc29yOjQ2,jaywcjlove/awesome-uikit,https://github.com/jaywcjlove/awesome-uikit,1139,react-components,2017-12-07 16:33:57+00:00,0
0,Y3Vyc29yOjQ3,jakubgarfield/expenses,https://github.com/jakubgarfield/expenses,1108,react-components,2017-06-06 04:53:58+00:00,0
0,Y3Vyc29yOjQ4,couds/react-bulma-components,https://github.com/couds/react-bulma-components,1023,react-components,2017-09-18 15:14:39+00:00,1.0
0,Y3Vyc29yOjQ5,gilbarbara/react-inlinesvg,https://github.com/gilbarbara/react-inlinesvg,957,react-components,2014-03-23 05:04:09+00:00,0
0,Y3Vyc29yOjUw,jrowny/react-absolute-grid,https://github.com/jrowny/react-absolute-grid,912,react-components,2015-06-11 20:02:58+00:00,0
0,Y3Vyc29yOjUx,CVarisco/create-component-app,https://github.com/CVarisco/create-component-app,879,react-components,2017-06-27 20:41:11+00:00,0
0,Y3Vyc29yOjUy,thedevelobear/react-rewards,https://github.com/thedevelobear/react-rewards,863,react-components,2018-11-12 23:28:34+00:00,0
0,Y3Vyc29yOjUz,ZhongAnTech/zarm,https://github.com/ZhongAnTech/zarm,863,react-components,2016-07-13 11:45:37+00:00,0
0,Y3Vyc29yOjU0,wix/wix-style-react,https://github.com/wix/wix-style-react,802,react-components,2016-11-14 14:37:00+00:00,0.918918918918919
0,Y3Vyc29yOjU1,anubhavsrivastava/awesome-ui-component-library,https://github.com/anubhavsrivastava/awesome-ui-component-library,705,react-components,2018-11-25 07:32:19+00:00,0
0,Y3Vyc29yOjU2,ukrbublik/react-awesome-query-builder,https://github.com/ukrbublik/react-awesome-query-builder,702,react-components,2017-07-26 12:07:17+00:00,0
0,Y3Vyc29yOjU3,seeden/react-facebook,https://github.com/seeden/react-facebook,670,react-components,2016-02-21 17:31:51+00:00,0
0,Y3Vyc29yOjU4,blueberryapps/react-bluekit,https://github.com/blueberryapps/react-bluekit,660,react-components,2015-11-24 13:17:51+00:00,0
0,Y3Vyc29yOjU5,stephane-monnot/react-vertical-timeline,https://github.com/stephane-monnot/react-vertical-timeline,645,react-components,2017-10-26 22:06:31+00:00,0
0,Y3Vyc29yOjYw,mbasso/react-decoration,https://github.com/mbasso/react-decoration,641,react-components,2016-09-27 20:59:55+00:00,0
0,Y3Vyc29yOjYx,pivotal-cf/pivotal-ui,https://github.com/pivotal-cf/pivotal-ui,638,react-components,2014-05-16 18:52:56+00:00,0
0,Y3Vyc29yOjYy,sumup-oss/circuit-ui,https://github.com/sumup-oss/circuit-ui,635,react-components,2017-06-26 09:57:50+00:00,0.9917355371900827
0,Y3Vyc29yOjYz,kimmelsg/cj-upload,https://github.com/kimmelsg/cj-upload,588,react-components,2016-08-30 03:15:37+00:00,0
0,Y3Vyc29yOjY0,Detaysoft/react-chat-elements,https://github.com/Detaysoft/react-chat-elements,582,react-components,2017-07-30 18:46:29+00:00,0
0,Y3Vyc29yOjY1,digiaonline/react-foundation,https://github.com/digiaonline/react-foundation,573,react-components,2016-03-10 19:58:03+00:00,1.0
0,Y3Vyc29yOjY2,creativetimofficial/light-bootstrap-dashboard-react,https://github.com/creativetimofficial/light-bootstrap-dashboard-react,568,react-components,2017-09-19 14:03:33+00:00,0
0,Y3Vyc29yOjY3,react-theming/storybook-addon-material-ui,https://github.com/react-theming/storybook-addon-material-ui,520,react-components,2016-09-13 08:30:16+00:00,1.0
0,Y3Vyc29yOjY4,infeng/react-viewer,https://github.com/infeng/react-viewer,505,react-components,2016-09-29 14:57:05+00:00,0
0,Y3Vyc29yOjY5,antvis/Graphin,https://github.com/antvis/Graphin,494,react-components,2019-11-06 13:15:50+00:00,0.9090909090909091
0,Y3Vyc29yOjcw,craig1123/react-recipes,https://github.com/craig1123/react-recipes,469,react-components,2019-10-25 02:01:29+00:00,0
0,Y3Vyc29yOjcx,10086XIAOZHANG/CP-DESIGN,https://github.com/10086XIAOZHANG/CP-DESIGN,466,react-components,2020-03-15 15:42:12+00:00,0
0,Y3Vyc29yOjcy,spotify/reactochart,https://github.com/spotify/reactochart,463,react-components,2016-01-07 20:58:18+00:00,0
0,Y3Vyc29yOjcz,patternfly/patternfly-react,https://github.com/patternfly/patternfly-react,463,react-components,2017-03-08 22:31:12+00:00,0.9705882352941176
0,Y3Vyc29yOjc0,kulakowka/react-bulma,https://github.com/kulakowka/react-bulma,454,react-components,2017-05-30 21:04:25+00:00,0
0,Y3Vyc29yOjc1,dsznajder/vscode-es7-javascript-react-snippets,https://github.com/dsznajder/vscode-es7-javascript-react-snippets,448,react-components,2017-06-07 18:52:04+00:00,0
0,Y3Vyc29yOjc2,strapi/buffet,https://github.com/strapi/buffet,435,react-components,2019-01-25 09:47:01+00:00,0
0,Y3Vyc29yOjc3,brandonmowat/react-chat-ui,https://github.com/brandonmowat/react-chat-ui,432,react-components,2016-08-22 14:11:11+00:00,0
0,Y3Vyc29yOjc4,cloudinary/cloudinary-react,https://github.com/cloudinary/cloudinary-react,431,react-components,2016-08-30 10:56:20+00:00,0
0,Y3Vyc29yOjc5,TroyAlford/react-jsx-parser,https://github.com/TroyAlford/react-jsx-parser,401,react-components,2017-01-30 00:28:31+00:00,0
0,Y3Vyc29yOjgw,instamobile/recipes-app-react-native,https://github.com/instamobile/recipes-app-react-native,397,react-components,2019-07-23 03:53:48+00:00,0
0,Y3Vyc29yOjgx,bem/bem-react,https://github.com/bem/bem-react,387,react-components,2016-06-01 16:16:02+00:00,1.0
0,Y3Vyc29yOjgy,ayrton/react-key-handler,https://github.com/ayrton/react-key-handler,386,react-components,2016-02-27 20:27:48+00:00,0
0,Y3Vyc29yOjgz,ConsenSysMesh/rimble-ui,https://github.com/ConsenSysMesh/rimble-ui,372,react-components,2018-07-10 18:24:51+00:00,0.9473684210526315
0,Y3Vyc29yOjg0,bmcmahen/sancho,https://github.com/bmcmahen/sancho,370,react-components,2019-02-25 20:50:06+00:00,0
0,Y3Vyc29yOjg1,XiaoMi/hiui,https://github.com/XiaoMi/hiui,369,react-components,2018-10-08 10:10:20+00:00,0.5
