name,awnsered_questions,questions
material-ui,537,1000
chakra-ui,7,18
Semantic-UI-React,103,205
fluentui,0,0
rebass,3,7
baseweb,3,3
react-spectrum,0,0
react-weui,0,0
element-react,0,0
primereact,30,58
